Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
3,43,3-43,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,36,,,,
3,44,3-44,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,45,,,,
3,45,3-45,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,33,,,,
3,46,3-46,Lecythis,Lecythis ampla Miers,Lecythidaceae A.Rich.,4,2.5,33,,,,
3,47,3-47,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,34,,,,
3,48,3-48,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,38,,,,
3,49,3-49,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,32,,,,
3,50,3-50,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,33,,,,
4,1,4-1,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7,4,53,,,,
4,2,4-2,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,41,,,,
4,3,4-3,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,5,3,37,,,,
